,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
653,10003.44,12.0,0.0,0.0,16005411479.0,8004692092.0,537235.0,8698.0,4045402.0,7999081181.0,12003382480.0,3983340.0,841457.0,38540.0,i-results,MULHU_V0,ORI_V0,MULHU_V0_ORI_V0-10
654,10003.83,2.0,0.0,0.0,16006012349.0,8005001910.0,515935.0,4164.0,4478652.0,7999662994.0,23934164922.0,4355591.0,850025.0,37029.0,i-results,MULHU_V0,OR_V0,MULHU_V0_OR_V0-10
655,9931.61,1612.0,0.0,0.0,15911836509.0,7975187826.0,2594519.0,237690.0,18207105.0,7923732321.0,23749921054.0,14392190.0,2817583.0,241075.0,i-results,MULHU_V0,REMUW_V0,MULHU_V0_REMUW_V0-10
656,10003.44,11.0,0.0,0.0,16005410087.0,8004584084.0,535327.0,8304.0,4209699.0,7998990680.0,23991224015.0,4137631.0,815568.0,38881.0,i-results,MULHU_V0,REMU_V0,MULHU_V0_REMU_V0-10
657,10003.41,12.0,0.0,0.0,16005358939.0,8004669702.0,535757.0,7942.0,4135654.0,7998928931.0,23991241567.0,4059702.0,802632.0,39251.0,i-results,MULHU_V0,REM_V0,MULHU_V0_REM_V0-10
658,10003.74,4.0,0.0,0.0,16005860435.0,8004836905.0,518172.0,5624.0,4742995.0,7999367384.0,23895292199.0,4617855.0,822293.0,36826.0,i-results,MULHU_V0,SLLIW_V0,MULHU_V0_SLLIW_V0-10
659,10002.7,32.0,0.0,0.0,16004381696.0,10669829192.0,565561.0,14390.0,4732741.0,5332506960.0,10664973690.0,4350406.0,883463.0,41555.0,i-results,SRAI_V0,REMUW_V0,SRAI_V0_REMUW_V0-10
660,10002.8,12.0,0.0,0.0,16004406167.0,10669796153.0,554173.0,9380.0,4726063.0,5332541337.0,10665373810.0,4320981.0,791895.0,40407.0,i-results,SRAI_V0,REM_V0,SRAI_V0_REM_V0-10
661,9989.8,231.0,1.0,0.0,15986396934.0,7996418852.0,861344.0,60314.0,7410029.0,7986052429.0,23858216691.0,7072347.0,1429390.0,66181.0,i-results,MULHU_V0,SLLI_V0,MULHU_V0_SLLI_V0-10
662,9971.12,414.0,0.0,0.0,15959012580.0,7983392533.0,1107517.0,96510.0,11628950.0,7967493412.0,23787844357.0,11106389.0,1659116.0,85588.0,i-results,MULHU_V0,SLLW_V0,MULHU_V0_SLLW_V0-10
663,10003.73,1.0,0.0,0.0,16005846912.0,31967609419.0,516878.0,2608.0,12495304.0,4682076.0,4518699.0,3666330.0,751947.0,37581.0,i-results,SRAI_V0,SLLI_V0,SRAI_V0_SLLI_V0-10
664,10003.61,6.0,0.0,0.0,16005679119.0,8004758569.0,545978.0,7681.0,4187660.0,7999988705.0,23914898119.0,4149564.0,813485.0,40109.0,i-results,MULHU_V0,SLL_V0,MULHU_V0_SLL_V0-10
665,10003.86,2.0,0.0,0.0,16006054125.0,31967682104.0,515503.0,4178.0,13227142.0,4082687.0,3066834.0,4278107.0,800498.0,36548.0,i-results,SRAI_V0,SLL_V0,SRAI_V0_SLL_V0-10
666,9933.95,1567.0,0.0,0.0,15914680800.0,31687637028.0,2540610.0,222882.0,27472681.0,14083320.0,16622583.0,13952584.0,2794694.0,256894.0,i-results,SRAI_V0,SLTIU_V0,SRAI_V0_SLTIU_V0-10
667,10003.48,12.0,0.0,0.0,16005452230.0,31964989799.0,535442.0,7798.0,12918103.0,5056349.0,4603087.0,3978493.0,788082.0,38591.0,i-results,SRAI_V0,SLTI_V0,SRAI_V0_SLTI_V0-10
668,10003.05,23.0,0.0,0.0,16004903914.0,31962324560.0,570349.0,12666.0,13330814.0,5182986.0,4987179.0,4277782.0,862090.0,41787.0,i-results,SRAI_V0,SLT_V0,SRAI_V0_SLT_V0-10
669,10003.4,12.0,0.0,0.0,16005362080.0,8004637301.0,539146.0,8854.0,4137762.0,7999822315.0,23943204410.0,4112094.0,891579.0,39929.0,i-results,MULHU_V0,SLTIU_V0,MULHU_V0_SLTIU_V0-10
670,9932.4,1615.0,0.0,0.0,15912595510.0,7975623911.0,2601408.0,227010.0,17439228.0,7925565775.0,23665437027.0,14100121.0,2806832.0,258224.0,i-results,MULHU_V0,SLTI_V0,MULHU_V0_SLTI_V0-10
671,10001.84,11.0,0.0,0.0,16002886163.0,8003305572.0,552385.0,8517.0,4304199.0,7998484905.0,23929399877.0,4219397.0,845014.0,40718.0,i-results,MULHU_V0,SLTU_V0,MULHU_V0_SLTU_V0-10
672,9934.28,1589.0,0.0,0.0,15916001276.0,7977718903.0,2564673.0,226892.0,17160873.0,7927129789.0,23707132994.0,13800951.0,2862511.0,231613.0,i-results,MULHU_V0,SRL_V0,MULHU_V0_SRL_V0-10
673,10003.38,12.0,0.0,0.0,16005308912.0,8004645414.0,536029.0,9156.0,4066013.0,7999804347.0,23933572171.0,4021753.0,855755.0,39523.0,i-results,MULHU_V0,SUBW_V0,MULHU_V0_SUBW_V0-10
674,10003.88,2.0,0.0,0.0,16006078830.0,31967080356.0,516912.0,4138.0,13422044.0,4224572.0,3213329.0,4458598.0,836257.0,37139.0,i-results,SRAI_V0,SRAI_V0,SRAI_V0_SRAI_V0-10
675,9981.79,328.0,0.0,0.0,15974777014.0,31873998993.0,982155.0,79138.0,19608390.0,7473643.0,7999806.0,9072857.0,1373986.0,77170.0,i-results,SRAI_V0,SRAW_V0,SRAI_V0_SRAW_V0-10
676,10003.45,12.0,0.0,0.0,16005444342.0,31964319784.0,536667.0,8267.0,12988439.0,5227612.0,4875772.0,4061512.0,817173.0,38798.0,i-results,SRAI_V0,SRA_V0,SRAI_V0_SRA_V0-10
677,10002.99,24.0,0.0,0.0,16004769988.0,31961793278.0,587734.0,14226.0,13452909.0,5184802.0,4909373.0,4347959.0,864847.0,41748.0,i-results,SRAI_V0,SRLIW_V0,SRAI_V0_SRLIW_V0-10
678,10003.35,12.0,0.0,0.0,16005248933.0,31964085619.0,537167.0,8380.0,13038346.0,5138183.0,4848478.0,4090962.0,865443.0,38964.0,i-results,SRAI_V0,SRLI_V0,SRAI_V0_SRLI_V0-10
679,10003.95,0.0,0.0,0.0,16006191699.0,31968474682.0,515910.0,1885.0,12495910.0,4600211.0,4416880.0,3665567.0,747335.0,38283.0,i-results,SRAI_V0,SRLW_V0,SRAI_V0_SRLW_V0-10
680,10003.78,1.0,0.0,0.0,16005933633.0,31967662001.0,517145.0,2463.0,12557346.0,4677659.0,4494534.0,3711300.0,751713.0,38467.0,i-results,SRAI_V0,SRL_V0,SRAI_V0_SRL_V0-10
681,9932.18,1614.0,0.0,0.0,15912696630.0,7975784029.0,2601265.0,251253.0,17641105.0,7925125032.0,23626490785.0,14123115.0,2943562.0,253049.0,i-results,MULHU_V0,SUB_V0,MULHU_V0_SUB_V0-10
682,10003.96,0.0,0.0,0.0,16006212281.0,31968618031.0,515847.0,2037.0,12439146.0,4605678.0,4538258.0,3599210.0,769628.0,39059.0,i-results,SRAI_V0,SUBW_V0,SRAI_V0_SUBW_V0-10
